,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1698376426430,1.184,0.0,0,0,COMMIT,140691,1698376426428.816
4,1698376479681,1.095,0.0,0,0,COMMIT,140694,1698376479679.905
5,1698376683621,1.101,0.0,0,0,COMMIT,140697,1698376683619.899
6,1698376745388,1.037,0.0,0,0,COMMIT,140700,1698376745386.963
7,1698376827612,1.008,0.0,0,0,COMMIT,140703,1698376827610.992
8,1698376898450,1.055,0.0,0,0,COMMIT,140707,1698376898448.945
9,1698376083667,1.014,0.0,0,0,COMMIT,140709,1698376083665.986
10,1698376095002,1.032,0.0,0,0,COMMIT,140717,1698376095000.968
15,1698376234945,1.185,0.0,0,0,COMMIT,140722,1698376234943.815
16,1698376600482,1.13,0.0,0,0,COMMIT,140726,1698376600480.87
17,1698376628636,1.047,0.0,0,0,COMMIT,140736,1698376628634.953
18,1698376725734,1.823,0.086,1,366,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 38019\
              AND OL_O_ID >= 37999\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",140743,1698376725732.177
19,1698376987898,1.925,0.0,0,0,COMMIT,140749,1698376987896.075
20,1698377033199,1.037,0.0,0,0,COMMIT,140751,1698377033197.963
24,1698376254032,1.08,0.0,0,0,COMMIT,140747,1698376254030.92
25,1698376332544,1.113,0.0,0,0,COMMIT,140765,1698376332542.887
26,1698376342574,1.027,0.0,0,0,COMMIT,140767,1698376342572.973
27,1698376376709,1.032,0.0,0,0,COMMIT,140768,1698376376707.968
28,1698376461975,1.262,0.0,0,0,COMMIT,140755,1698376461973.738
29,1698376535851,1.033,0.0,0,0,COMMIT,140764,1698376535849.967
30,1698376616610,1.026,0.0,0,0,COMMIT,140772,1698376616608.974
31,1698376708971,1.103,0.0,0,0,COMMIT,140779,1698376708969.897
32,1698376879489,1.149,0.0,0,0,COMMIT,140785,1698376879487.851
33,1698376919633,1.219,0.0,0,0,COMMIT,140775,1698376919631.781
34,1698376949315,1.248,0.0,0,0,COMMIT,140789,1698376949313.752
35,1698377044990,1.134,0.0,0,0,COMMIT,140782,1698377044988.866
36,1698376079534,1.032,0.0,0,0,COMMIT,140797,1698376079532.968
37,1698376121788,1.046,0.0,0,0,COMMIT,140781,1698376121786.954
38,1698376183485,1.144,0.0,0,0,COMMIT,140794,1698376183483.856
41,1698376198177,1.057,0.0,0,0,COMMIT,140796,1698376198175.943
43,1698376209131,1.151,0.0,0,0,COMMIT,140790,1698376209129.849
44,1698376211057,1.355,0.0,0,0,ROLLBACK,140795,1698376211055.645
46,1698376291179,1.218,0.0,0,0,COMMIT,140807,1698376291177.782
47,1698376509524,1.239,0.0,0,0,COMMIT,140803,1698376509522.761
48,1698376510347,1.426,0.0,0,0,COMMIT,140816,1698376510345.574
49,1698376523209,1.007,0.0,0,0,COMMIT,140817,1698376523207.993
50,1698376523854,1.135,0.0,0,0,COMMIT,140812,1698376523852.865
51,1698376631878,1.012,0.0,0,0,COMMIT,140820,1698376631876.988
52,1698376784147,1.241,0.0,0,0,COMMIT,140829,1698376784145.759
53,1698376794971,1.025,0.0,0,0,COMMIT,140824,1698376794969.975
54,1698376839749,1.127,0.0,0,0,COMMIT,140831,1698376839747.873
55,1698376840503,1.661,0.0,0,0,COMMIT,140826,1698376840501.339
